FECHA,TMAX,TMIN,NOMBRE
2024-01-30,31.6,25.1,AEROPARQUE AERO
2024-01-30,36,15.7,AZUL AERO
2024-01-30,38.1,19.9,BAHIA BLANCA AERO
2024-01-30,25.6,11.7,BARILOCHE AERO
2024-01-30,4.7,-7.4,BASE BELGRANO II
2024-01-30,4.7,1.9,BASE CARLINI (EX JUBANY)
2024-01-30,5.2,-2.3,BASE ESPERANZA
2024-01-30,7.5,-4.2,BASE MARAMBIO
2024-01-30,3.9,0.5,BASE ORCADAS
2024-01-30,3.8,-0.3,BASE SAN MARTIN
2024-01-30,36.4,18.5,BENITO JUAREZ AERO
2024-01-30,29.2,19.6,BERNARDO DE IRIGOYEN AERO
2024-01-30,36.7,17,BOLIVAR AERO
2024-01-30,33.9,24.4,BUENOS AIRES OBSERVATORIO
2024-01-30,35,20,CAMPO DE MAYO AERO
2024-01-30,40.6,25.8,CATAMARCA AERO
2024-01-30,36,17.7,CERES AERO
2024-01-30,,24.8,CHAMICAL AERO
2024-01-30,28.5,12.6,CHAPELCO AERO
2024-01-30,40,25.5,CHEPES
2024-01-30,37.5,19,CIPOLLETTI
2024-01-30,31.4,15.2,COMODORO RIVADAVIA AERO
2024-01-30,34.3,21.8,CONCORDIA AERO
2024-01-30,35.5,17.5,CORDOBA AERO
2024-01-30,36.5,21,CORDOBA OBSERVATORIO
2024-01-30,36,18.2,CORONEL SUAREZ AERO
2024-01-30,34.9,20,CORRIENTES AERO
2024-01-30,,19.1,DOLORES AERO
2024-01-30,29.5,7.2,EL BOLSON AERO
2024-01-30,22.3,10.8,EL CALAFATE AERO
2024-01-30,34.6,21.5,EL PALOMAR AERO
2024-01-30,,18.7,ESCUELA DE AVIACION MILITAR AERO
2024-01-30,24.5,12,ESQUEL AERO
2024-01-30,35.7,21.5,EZEIZA AERO
2024-01-30,37,22.8,FORMOSA AERO
2024-01-30,37.4,23.1,GENERAL PICO AERO
2024-01-30,27.6,13,GOBERNADOR GREGORES AERO
2024-01-30,34.8,20,GUALEGUAYCHU AERO
2024-01-30,35.4,20.4,IGUAZU AERO
2024-01-30,35.5,20.5,ITUZAINGO
2024-01-30,39.5,17.5,JACHAL
2024-01-30,36.9,18.6,JUJUY AERO
2024-01-30,32.5,16.6,JUJUY U N
2024-01-30,36.1,17.2,JUNIN AERO
2024-01-30,32.7,18.1,LA PLATA AERO
2024-01-30,19.5,8.6,LA QUIACA OBSERVATORIO
2024-01-30,43.4,24.3,LA RIOJA AERO
2024-01-30,35.2,17.8,LABOULAYE AERO
2024-01-30,36.5,19.1,LAS FLORES
2024-01-30,42,24.2,LAS LOMITAS
2024-01-30,37,17,MALARGUE AERO
2024-01-30,31.5,12.6,MAQUINCHAO
2024-01-30,34.4,17.7,MAR DEL PLATA AERO
2024-01-30,34,16.7,MARCOS JUAREZ AERO
2024-01-30,35,22.4,MARIANO MORENO AERO
2024-01-30,39.2,24,MENDOZA AERO
2024-01-30,36.4,22,MENDOZA OBSERVATORIO
2024-01-30,34.6,21.8,MERCEDES AERO (CTES)
2024-01-30,36.5,22,MERLO AERO
2024-01-30,35.2,19.1,METAN
2024-01-30,34,20.3,MONTE CASEROS AERO
2024-01-30,35.5,24,MORON AERO
